"","category","sellable_online","other_colors","depth","height","width","price","newprice"
"147","Bookcases & shelving units","TRUE","No",2,4,5,6,0
"148","Cabinets & cupboards","TRUE","No",18,83,80,29,0
"149","Outdoor furniture","TRUE","Yes",82,88,98,1247,1
"150","Tables & desks","TRUE","No",46,74,75,475,0
"151","Tables & desks","TRUE","Yes",46,83,80,545,0
"152","Beds","TRUE","Yes",64,14,153,570,0
"153","Bookcases & shelving units","TRUE","No",27,74,60,39,0
"154","Tables & desks","TRUE","No",46,18,50,89,0
"155","Chairs","TRUE","No",43,79,41,195,0
"156","Sideboards, buffets & console tables","TRUE","Yes",37,134,162,1550,1
"157","Bookcases & shelving units","TRUE","Yes",35,72,280,1002,1
"158","Sofas & armchairs","TRUE","Yes",164,83,249,6030,1
"159","Bookcases & shelving units","TRUE","Yes",39,147,147,495,0
"160","Tables & desks","TRUE","No",46,83,105,3165,1
"161","Chairs","TRUE","No",46,74,100,4265,1
"162","Chests of drawers & drawer units","TRUE","No",47,76,120,920,0
"163","Cabinets & cupboards","TRUE","Yes",32,83,9,22,0
"164","Bookcases & shelving units","TRUE","Yes",37,33,33,75,0
"165","Outdoor furniture","TRUE","No",46,72,56,205,0
"166","Nursery furniture","TRUE","No",59,90,56,85,0
"167","Nursery furniture","TRUE","Yes",44,52,94,410,0
"168","Cabinets & cupboards","TRUE","Yes",25,107,70,377,0
"169","Chairs","TRUE","No",60,68,47,179,0
"170","Beds","TRUE","No",46,68,97,149,0
"171","Tables & desks","TRUE","No",46,74,60,356,0
"172","Sideboards, buffets & console tables","TRUE","Yes",39,147,77,295,0
"173","Sofas & armchairs","TRUE","Yes",252,104,327,6575,1
"174","Cabinets & cupboards","TRUE","Yes",46,26,60,60,0
"175","Chairs","TRUE","No",69,83,69,310,0
"176","Wardrobes","TRUE","No",60,236,250,5345,1
"177","Sofas & armchairs","TRUE","No",93,104,93,1400,1
"178","Tables & desks","TRUE","Yes",46,42,80,175,0
"179","Bar furniture","TRUE","No",44,63,44,175,0
"180","Sofas & armchairs","TRUE","Yes",46,83,80,835,0
"181","Bookcases & shelving units","TRUE","Yes",30,237,40,500,0
